07-04-2026 13:59:57 | GET | cafeteria-api/categorias
07-04-2026 14:00:15 | GET | cafeteria-api/categorias
07-04-2026 14:01:55 | GET | cafeteria-api/categorias
07-04-2026 14:01:59 | GET | cafeteria-api/categorias
07-04-2026 14:05:51 | GET | cafeteria-api/categorias
07-04-2026 14:05:54 | GET | cafeteria-api/categorias
07-04-2026 14:56:51 | GET | cafeteria-api/categorias
07-04-2026 14:56:52 | GET | cafeteria-api/categorias
07-04-2026 15:51:42 | GET | cafeteria-api/pedidos
07-04-2026 15:52:34 | POST | cafeteria-api/pedidos
07-04-2026 15:54:05 | GET | cafeteria-api/pedidos
07-04-2026 15:54:20 | POST | cafeteria-api/pedidos
07-04-2026 15:54:26 | POST | cafeteria-api/pedidos
07-04-2026 15:54:31 | GET | cafeteria-api/pedidos
07-04-2026 15:54:43 | DELETE | cafeteria-api/pedidos/2
07-04-2026 15:54:50 | GET | cafeteria-api/pedidos
07-04-2026 15:55:29 | GET | cafeteria-api/categorias
07-04-2026 15:56:19 | GET | cafeteria-api/Pedidos
07-04-2026 15:56:31 | GET | cafeteria-api/Pedidos
07-04-2026 15:56:34 | GET | cafeteria-api/Pedidos
07-04-2026 15:56:50 | GET | cafeteria-api/edidos
07-04-2026 15:56:51 | GET | cafeteria-api/pedidos
07-04-2026 15:57:26 | GET | cafeteria-api/pedidos
07-04-2026 15:58:02 | GET | cafeteria-api/pedidos
07-04-2026 15:58:13 | GET | cafeteria-api/pedidos
07-04-2026 15:59:20 | GET | cafeteria-api/pedidos
07-04-2026 15:59:30 | GET | cafeteria-api/pedidos
07-04-2026 15:59:48 | GET | cafeteria-api/pedidos
07-04-2026 16:00:14 | POST | cafeteria-api/pedidos
07-04-2026 16:00:14 | GET | cafeteria-api/pedidos
07-04-2026 16:00:18 | OPTIONS | cafeteria-api/pedidos/4
07-04-2026 16:00:18 | DELETE | cafeteria-api/pedidos/4
07-04-2026 16:00:18 | GET | cafeteria-api/pedidos
07-04-2026 16:00:30 | GET | cafeteria-api/pedidos
07-04-2026 16:01:11 | GET | cafeteria-api/pedidos
07-04-2026 16:01:16 | GET | cafeteria-api/pedidos
07-04-2026 16:01:22 | GET | cafeteria-api/pedidos
07-04-2026 16:01:24 | GET | cafeteria-api/pedidos
07-04-2026 16:01:26 | GET | cafeteria-api/pedidos
07-04-2026 16:01:28 | GET | cafeteria-api/pedidos
07-04-2026 16:03:02 | GET | cafeteria-api/pedidos
07-04-2026 16:03:20 | GET | cafeteria-api/pedidos
07-04-2026 16:03:48 | GET | cafeteria-api/pedidos
