2026-04-10 17:18:33 | GET | meus-planos-api/categorias
2026-04-10 17:18:34 | GET | meus-planos-api/categorias
2026-04-10 17:18:48 | GET | meus-planos-api/categorias
2026-04-10 17:19:04 | GET | meus-planos-api/categorias
2026-04-10 17:19:08 | GET | meus-planos-api/categorias
2026-04-10 17:19:08 | GET | meus-planos-api/categorias
2026-04-10 17:19:31 | GET | meus-planos-api/categorias
2026-04-10 17:19:31 | GET | meus-planos-api/itens
2026-04-10 17:19:38 | GET | meus-planos-api/categorias
2026-04-10 17:19:41 | GET | meus-planos-api/categorias
2026-04-10 17:19:44 | GET | meus-planos-api/categorias
2026-04-10 17:19:46 | GET | meus-planos-api/categorias
2026-04-10 17:20:11 | GET | meus-planos-api/categorias
2026-04-10 17:23:40 | GET | meus-planos-api/categorias
2026-04-10 17:23:40 | GET | meus-planos-api/itens
2026-04-10 17:25:36 | GET | meus-planos-api/categorias
2026-04-10 17:25:37 | GET | meus-planos-api/categorias
2026-04-10 17:26:06 | GET | meus-planos-api/categorias
2026-04-10 17:26:14 | POST | meus-planos-api/categorias
2026-04-10 17:26:14 | GET | meus-planos-api/categorias
2026-04-10 17:26:17 | GET | meus-planos-api/categorias
2026-04-10 17:26:19 | GET | meus-planos-api/itens/[object%20Event]
2026-04-10 17:26:19 | GET | meus-planos-api/categorias
2026-04-10 17:26:30 | POST | meus-planos-api/itens
2026-04-10 17:26:30 | GET | meus-planos-api/itens
2026-04-10 17:26:35 | POST | meus-planos-api/itens
2026-04-10 17:26:35 | GET | meus-planos-api/itens
2026-04-10 17:26:36 | OPTIONS | meus-planos-api/itens/11
2026-04-10 17:26:36 | PUT | meus-planos-api/itens/11
2026-04-10 17:26:36 | GET | meus-planos-api/itens
2026-04-10 17:26:37 | OPTIONS | meus-planos-api/itens/10
2026-04-10 17:26:37 | PUT | meus-planos-api/itens/10
2026-04-10 17:26:37 | GET | meus-planos-api/itens
2026-04-10 17:26:53 | GET | meus-planos-api/categorias
2026-04-10 17:26:55 | GET | meus-planos-api/categorias
2026-04-10 17:26:55 | GET | meus-planos-api/itens/[object%20Event]
2026-04-10 17:27:01 | GET | meus-planos-api/categorias
2026-04-10 17:27:04 | POST | meus-planos-api/categorias
2026-04-10 17:27:04 | GET | meus-planos-api/categorias
2026-04-10 17:27:05 | GET | meus-planos-api/categorias
2026-04-10 17:27:05 | GET | meus-planos-api/itens/[object%20Event]
2026-04-10 17:27:08 | OPTIONS | meus-planos-api/itens/10
2026-04-10 17:27:08 | DELETE | meus-planos-api/itens/10
2026-04-10 17:27:08 | GET | meus-planos-api/itens
2026-04-10 17:27:09 | OPTIONS | meus-planos-api/itens/11
2026-04-10 17:27:09 | DELETE | meus-planos-api/itens/11
2026-04-10 17:27:09 | GET | meus-planos-api/itens
2026-04-10 17:27:10 | OPTIONS | meus-planos-api/itens/9
2026-04-10 17:27:10 | DELETE | meus-planos-api/itens/9
2026-04-10 17:27:10 | GET | meus-planos-api/itens
2026-04-10 17:27:11 | GET | meus-planos-api/categorias
2026-04-10 17:27:14 | OPTIONS | meus-planos-api/categorias/7
2026-04-10 17:27:14 | DELETE | meus-planos-api/categorias/7
2026-04-10 17:27:14 | GET | meus-planos-api/categorias
2026-04-10 17:27:15 | OPTIONS | meus-planos-api/categorias/8
2026-04-10 17:27:15 | DELETE | meus-planos-api/categorias/8
2026-04-10 17:27:15 | GET | meus-planos-api/categorias
2026-04-10 17:27:16 | OPTIONS | meus-planos-api/categorias/9
2026-04-10 17:27:16 | DELETE | meus-planos-api/categorias/9
2026-04-10 17:27:16 | GET | meus-planos-api/categorias
2026-04-10 17:27:17 | OPTIONS | meus-planos-api/categorias/10
2026-04-10 17:27:17 | DELETE | meus-planos-api/categorias/10
2026-04-10 17:27:17 | GET | meus-planos-api/categorias
